Question,Answer
"Забота о работниках | КСП, льготы, компенсации | Какие существуют социальные пакеты? | Какие виды социальной поддержки существуют в компании? |  |  | Из чего состоит соц пакет? | Что входит в соцпакет? | ","Система социальной поддержки работника в компании включает:
- базовый социальный пакет;
- софинансируемый социальный пакет;
- компенсируемый социальный пакет;
- бонусный пакет. Подробнее о каждом из видов социальных пакетов Базовый социальный пакет - льготы и компенсации, предоставляемые работникам по настоящему договору за счет средств работодателя, в том числе на страховых принципах;
софинансируемый социальный пакет - льготы и компенсации, предоставляемые работникам по настоящему договору, за счет средств работодателя и работника на принципах софинансирования;
компенсируемый социальный пакет - один из элементов софинансируемого социального пакета, предоставляемый в виде компенсации работникам высококвалифицированным, или достигшим значительных положительных производственных показателей, или имеющим редкую или дефицитную профессию, их личных затрат в пределах установленного лимита на приобретение социальных услуг, включенных в утвержденный перечень, которую осуществляет работодатель;
бонусный пакет - элемент системы мотивации, предусматривающий поощрения и награждения работников за личный вклад в повышение эффективности деятельности и развития компании, а также за проявленную активность и вовлеченность в решение корпоративных задач и участие в значимых для компании проектах."
"Забота компании о работнике | Коллективный договор | Какие документы нужно предоставить в отдел кадров для  компенсации проживания в гостиницах, отелях, хостелах? | Порядок выплаты компенсации за проживание в гостиницах в отпуске |  |  | компенсация проживания в отпуске | КСП компенсация проживания в отпуске | ","Документы для выплаты работнику компенсации в гостиницах, отелях, хостелах: 
1. копия приказа о нахождении в отпуске получателя ксп;
2. счет за проживание в гостинице на имя получателя ксп;
3. документ об оплате (кассовый чек или бланк строгой отчетности с указанием обязательных реквизитов, предусмотренных законодательством российской федерации).

с перечнем документов, необходимых для выплаты работнику компенсации по другим элементам ксп, можно ознакомиться в приложении 6 распоряжения 465р от 4 марта 2011 г.  "
"Забота о работниках | Коллективный договор, КСП | Производится ли компенсация затрат на занятия физической культурой?  | Компания компенсирует расходы на спорт? | Производится ли компенсация затрат на занятия физической культурой?  |  | размер компенсации за спорт |  | ","Компания частично компенсирует затраты на занятия физической культурой из расчета 400 руб. на одного работника в год (в соответствии с пунктом 7.33 коллективного договора оао «ржд» на 2023-2025 гг.).
право на частичную компенсацию затрат имеют работники, не занимающиеся в физкультурно-спортивных клубах компании.
если вы хотите получить компенсацию на абонемент в спортивный клуб, обратитесь с заявлением к ответственному работнику подразделения оао «ржд», в ведении которого находится вопрос оформления документов на компенсацию затрат занятий физической культурой. 
размер компенсации устанавливается комиссией в процентах от полной стоимости абонемента, исходя из средств, предусмотренных в бюджете предприятия на эти цели с учетом поданных заявлений, но не более 20 000 (двадцать тысяч) руб. одному работнику в год. комиссия выносит решение о предоставлении компенсации работнику и сумме компенсации (в рублях).
  "
"Забота о работниках | ЗОЖ, спорт | Что нужно сделать, чтобы получить абонемент в спортивный зал? | Как получить абонемент в спортивный клуб? | К кому обратиться за компенсацией затрат на спорт? | Как получить компенсацию за занятия физической культурой? |  |  | ","Если вы хотите получить компенсацию на абонемент в спортивный клуб, обратитесь с заявлением к ответственному работнику подразделения оао «ржд», в ведении которого находится вопрос оформления документов на компенсацию затрат занятий физической культурой. 
размер компенсации устанавливается комиссией в процентах от полной стоимости абонемента, исходя из средств, предусмотренных в бюджете предприятия на эти цели с учетом поданных заявлений, но не более 20 000 (двадцать тысяч) руб. одному работнику в год. комиссия выносит решение о предоставлении компенсации работнику и сумме компенсации (в рублях).

компания частично компенсирует затраты на занятия физической культурой из расчета 400 руб. на одного работника в год (в соответствии с пунктом 7.33 коллективного договора оао «ржд» на 2023-2025 годы).
право на частичную компенсацию затрат имеют работники, не занимающиеся в физкультурно-спортивных клубах компании.  "
Забота о работниках | льготы | Какие есть социальные льготы? | социальные льготы для работников в ОАО «РЖД» | какие существуют социальные льготы в компании | какие есть социальные льготы для работников в компании |  | соц льготы | соц льготы в ржд,"Получить подробную информацию о социальных льготах и гарантиях, предоставляемых коллективным договором, можно:
- у специалистов по управлению персоналом структурного подразделения;
- в профсоюзной организации;
- в путеводителе по льготам, размещенном на сервисном портале в блоге «социальная поддержка».  "
Забота о работниках | льготы | Какой социальный пакет мне доступен | социальный пакет для работников ОАО «РЖД» | какой социальный пакет положен работникам компании |  |  | соц пакет | соц пакет ржд,"Социальный пакет, предоставляемый работникам, прописан в коллективном договоре оао «ржд». коллективный договор заключается сроком на 3 года. ознакомиться с действующим коллективным договором можно на сайте компании ржд https://company.rzd.ru  в разделе ""документы"".  "
"Забота о работниках | льготы, гарантии, компенсации, статус молодого специалиста | На какие льготы имеет право претендовать молодой специалист? | Льготы, предоставляемые молодому специалисту ОАО «РЖД» | Какие виды помощи молодым сотрудникам есть в ржд  | какие льготы существуют в компании для молодого специалиста |  | льготы для молодого спеца | ","Молодому специалисту предоставляются льготы в соответствии с законодательством российской федерации, положением о молодом специалисте оао «ржд», утвержденном распоряжением оао «ржд» от 18 июля 2017 г. № 1397/р. ознакомиться с положением о молодом специалисте можно на сайте компании ржд https://company.rzd.ru  в разделе «документы» или проконсультироваться по интересующему вопросу у ответственного специалиста отдела по управлению персоналом структурного подразделения. Льготы в формате списка Статус молодого специалиста ржд предоставляет сотрудникам особые социальные гарантии, льготы и компенсации.
после приема на работу:
- единовременное пособие в размере месячного оклада;
- субсидируемый ипотечный кредит при покупке недвижимости: ипотечная ставка 2%,
при переезде на новое место работы:
- оплата расходов на переезд и обустройство;
- предоставление временного жилья и корпоративная поддержка при покупке недвижимости.
при работе в отдаленной местности с неразвитой социальной инфраструктурой:
- единовременное пособие 250 000 руб.;
- вознаграждение за первый и второй годы работы;
- предоставление жилья или компенсация аренды на период работы;
- ежемесячное пособие на воспитание ребенка, если второй родитель не работает из-за отсутствия рабочих мест или детских садов;
- установление ежемесячной оплаты услуг по содержанию, присмотру и уходу за воспитанником в образовательных учреждениях, имеющих дошкольные группы, в размере 5%  от полной стоимости;
- установление родительской платы в ржд лицеях, имеющих в своей структуре интернат, в размере 5%  от полной стоимости
при рождении ребенка:
- безвозмездная субсидия на погашение части ипотеки;
- компенсация более 80% оплаты детского сада ржд;
- компенсация более 75% стоимости путевки в детский летний лагерь ржд."
"Забота о работниках | льготы, гарантии, компенсации, статус молодого специалиста | Какие гарантии предоставляются молодому специалисту? | Гарантии, предоставляемые молодому специалисту ОАО «РЖД» | какие гарантии есть для молодых специалистов в компании | какие гарантии существуют в компании для молодого специалиста |  | гарантии для молодого спеца | ","Молодому специалисту предоставляются льготы в соответствии с законодательством российской федерации, положением о молодом специалисте оао «ржд», утвержденном распоряжением оао «ржд» от 18 июля 2017 г. № 1397/р. ознакомиться с положением о молодом специалисте можно на сайте компании ржд https://company.rzd.ru  в разделе «документы» или проконсультироваться по интересующему вопросу у ответственного специалиста отдела по управлению персоналом структурного подразделения. Гарантии в формате списка Статус молодого специалиста ржд предоставляет сотрудникам особые социальные гарантии, льготы и компенсации.
после приема на работу:
- единовременное пособие в размере месячного оклада;
- субсидируемый ипотечный кредит при покупке недвижимости: ипотечная ставка 2%,
при переезде на новое место работы:
- оплата расходов на переезд и обустройство;
- предоставление временного жилья и корпоративная поддержка при покупке недвижимости.
при работе в отдаленной местности с неразвитой социальной инфраструктурой:
- единовременное пособие 250 000 руб.;
- вознаграждение за первый и второй годы работы;
- предоставление жилья или компенсация аренды на период работы;
- ежемесячное пособие на воспитание ребенка, если второй родитель не работает из-за отсутствия рабочих мест или детских садов;
- установление ежемесячной оплаты услуг по содержанию, присмотру и уходу за воспитанником в образовательных учреждениях, имеющих дошкольные группы, в размере 5%  от полной стоимости;
- установление родительской платы в ржд лицеях, имеющих в своей структуре интернат, в размере 5%  от полной стоимости
при рождении ребенка:
- безвозмездная субсидия на погашение части ипотеки;
- компенсация более 80% оплаты детского сада ржд;
- компенсация более 75% стоимости путевки в детский летний лагерь ржд."
"Забота компании о работнике | Санаторно-курортное лечение | Как подать заявление на путевку? | как получить путевку | как взять путевку в санаторий | что нужно сделать, чтобы взять путевку | оформление путевки |  | ","Подать заявление можно двумя способами: 
1.через сервисный портал работника (раздел «льготы и досуг», «санаторно-курортный отдых», далее выбираем место отдыха, период отдыха и т.д. (объекты оао «ржд»). 

2. написать заявление в комиссию по распределению путевок в санаторно-курортные и оздоровительные учреждения своего предприятия. 

c формой заявления и образцами документов расположены:

1) в приложении №6 к положению о бронировании, распределении и оплате путевок в структурные подразделения филиалов оао «ржд», специализирующиеся на санаторно-курортном лечении, оздоровлении и отдыхе, утв. распоряжением оао «ржд» от 04.09.2013 №1907р (в редакции распоряжения оао «ржд» от 15.08.2022 № 2134/р);

2) в приложении №6 к положению о формировании корпоративного заказа, бронировании, распределении и оплате путевок в филиалы ао «ржд-здоровье», утв. распоряжением оао «ржд» от 28.04.2015 №1096р (в редакции распоряжения оао «ржд» от 14.07.2021 №1533/р).    "
Забота компании о работнике | Санаторно-курортное лечение | Какой размер льготы по путевке для членов семьи? | Есть ли льготы на путевки для членов семьи? |  |  | Размер льготы на путевки для членов семьи | % компенсации путевки в санаторий для членов семьи | ,"Размер частичной оплаты стоимости путевки для членов семей составляет:
- на объектах оао «ржд» (муж, жена, дети, родители) - от 20% до 50% (распоряжение оао «ржд» от 04.09.2013 г. №1907р, в редакции распоряжения оао «ржд» от 15.08.2022 № 2134/р); 
- на объектах ао «ржд-здоровье» (муж, жена, дети) - от 20% до 60% (распоряжение оао «ржд» от 28.04.2015 г. №1096р, в редакции распоряжения оао «ржд» от 14.07.2021 №1533/р). перечень объектов оздоровления можно посмотреть в указанных документах. для удобства они выложены на сервисный портал в раздел «нормативные документы» - «взрослый отдых и оздоровление».  "
Забота компании о работнике | Санаторно-курортное лечение | Когда надо подавать заявление на путевку работнику и члену его семьи? | Путевку в санаторий надо заказывать за год вперед? | Срок подачи заявки на получение путевки на санаторно-курортное лечение для членов семьи и работника? | Как получить путевку для членов семьи? | заявка на льготные путевки на следующий год |  | ,"Заявки (потребность) на льготные санаторно-курортные путевки (на объекты оао «ржд» и санатории ао «ржд-здоровье») на следующий год формируются ежегодно в августе-сентябре. заявку можно подать двумя способами: 1. через сервисный портал работника (раздел «льготы и досуг», «санаторно-курортный отдых». 2. написать заявление в комиссию по распределению путевок и предоставить соответствующий пакет документов.

не позднее, чем за 2 месяца до начала квартала, комиссии аппарата управления, филиалов и их структурных подразделений корректируют заявки на выделение путевок (уточняют их количество, категории номеров и количество дней).

комиссии направляют заявки в дсс (дирекция социальной сферы) и филиалы ао «ржд-здоровье» на согласование. порядок предоставления и размеры оплаты утверждены распоряжениями оао «ржд» №1907р от 04.09.2013 г. и №1096р от 28.04.2015 г.
 Показать нормативные документы, где можно найти образцы заявлений Формы (образцы) заявлений: 
- приложение №6 к положению о бронировании, распределении и оплате путевок в структурные подразделения филиалов оао «ржд», специализирующиеся на санаторно-курортном лечении, оздоровлении и отдыхе, утв. распоряжением оао «ржд» от 04.09.2013 №1907р (в редакции распоряжения оао «ржд» от 15.08.2022 № 2134/р);

- приложение №6 к положению о формировании корпоративного заказа, бронировании, распределении и оплате путевок в филиалы ао «ржд-здоровье», утв. распоряжением оао «ржд» от 28.04.2015 №1096р (в редакции распоряжения оао «ржд» от 14.07.2021 №1533/р)."
Забота компании о работнике | Санаторно-курортное лечение | Кому выдаются санаторно-курортные путёвки на отдых? | Кто может получить путевку на отдых? | Путевку в санаторий от компании может получить только работник? | Компания выделяет путевки для членов семьи? | могу получить путевку в санаторий для члена семьи? | есть путевки для членов семьи | ,"Право на предоставление санаторно-курортных путевок имеют работники оао «ржд» (вне зависимости от стажа работы в компании), члены их семей и неработающие пенсионеры оао «ржд». 

для санаториев оао «ржд» к членам семьи относятся родители, супруги и дети, а для санаториев ао «ржд-здоровье» только супруги и дети. возраст детей одинаковый для всех санаториев от 4 до 18 лет.
 Подробнее о нормативных документах, регламентирующих порядок предоставления и порядок оплаты санаторно-курортных путевок. Порядок предоставления и размеры оплаты утверждены распоряжениями оао «ржд» №1907р от 04.09.2013 г., №1096р от 28.04.2015 г. и №27/р от 12.01.2023 (для неработающих пенсионеров на объектах оао «ржд»).

решение о выделении санаторно-курортной путевки работникам и членам семьи принимается комиссией вашего предприятия в пределах лимита средств, предусмотренных на частичную компенсацию стоимости путевок.

выделение путевок неработающим пенсионерам оао «ржд» осуществляется на основании обращения неработающего пенсионера через бесплатный телефон горячей линии икц (8-800-775-95-97 или через мобильный телефон по номеру 1810), через сервисный портал пенсионера оао «ржд» или через специалиста по управлению персоналом, и при наличии мест на объекте оздоровления и лимита средств, предусмотренных на частичную компенсацию стоимости путевок."
Забота о работниках | отдых | Какие конкретно есть социальные возможности для работников? | Где и у кого можно получить полный объем информации о полагающихся мне льготах и дополнительных материальных выплатах согласно Коллективному договору? | Как быть в курсе льгот и гарантий компании? | Где узнать виды и условия получения корпоративных льгот? | сайт про льготы компании | социальные льготы по Кол договору | ,"Получить подробную информацию о льготах и гарантиях, предоставляемых коллективным договором, работник может:
- у специалистов по управлению персоналом;
- в профсоюзной организации;
- на сервисном портале работника;
- в блогах на сервисном портале работника («трансформация социальной сферы», «социальная защита», «окно в мир жилищной политики оао «ржд»», «волонтеры ржд»);
- в социальной сети vk в группе «социальная политика оао «ржд» по адресу https://vk.com/social_rzd
- в телеграмм канале «социальная политика оао «ржд» https://t.me/social_rzd  "
"Забота о работниках | мероприятия | Где можно узнать про творческие конкурсы? (рисунки, фото) | Какие творческие конкурсы есть в компании? | Какие есть фотоконкурсы? | Есть конкурсы для певцов? | компания поддерживает творчество? | Есть ли в компании конкурсы живописи? | ","Информацию о мероприятиях департамента социального развития (цср) и дирекций социальной сферы железных дорог (дсс)  (в области культуры, спорта и  волонтерства) можно найти: на платформе «пульс», на платформе добро.рф, в ежемесячном дайджесте департамента социального развития.  "
Забота о работниках | семья | Какая существует поддержка молодых семей в Компании? | Какую поддержку компания оказывает молодым семьям? | Какие корпоративные льготы есть для молодой семьи |  |  | корп поддержка молодых семей | льготы для семьи,"Льготы молодым семьям предоставляются в соответствии с законодательством российской федерации, положением о молодом специалисте оао «ржд» и другими локальными нормативными актами, принятыми с учетом мотивированного мнения выборного органа профсоюза в целях закрепления в компании молодых работников, в том числе проживающих в районах крайнего севера и приравненных к ним местностях  "
"Забота компании о работнике | Коллективный договор, льготный проезд | Каким работникам положена компенсация расходов на оплату стоимости проезда и провоза багажа к месту использования ежегодного оплачиваемого отпуска и обратно любым видом транспорта, в том числе личным (за исключением такси), взамен железнодорожного? | На кого распространяется компенсация стоимости проезда в отпуске любым видом транспорта? | Кому компенсируют проезд в отпуске любым видом транспорта? |  | компенсация проезда в отпуске любым видом транспорта для кого |  | ","Данная компенсация распространяется на работников оао «ржд», работающих в районах крайнего севера и приравненных к ним местностях  и находящихся на их иждивении детей в возрасте до 18 лет. Какие именно расходы компенсируются 1) оплата стоимости проезда работника к месту использования отпуска и детей работника к месту отдыха и обратно в размере фактических расходов, подтвержденных проездными документами, но не выше стоимости проезда:
водным транспортом в каюте v группы морского судна регулярных транспортных линий и линий с комплексным обслуживанием пассажиров, в каюте ii категории речного судна всех линий сообщения и в каюте i категории судна паромной переправы;
воздушным транспортом в салоне экономического класса (в том числе детей работника в возрасте от 2 лет);
автомобильным транспортом общего пользования;
личным транспортом;
2) оплата стоимости провоза багажа весом до 24 кг (включительно) работника и каждого из детей работника независимо от количества багажа, разрешенного для бесплатного провоза по билету на тот вид транспорта, которым следуют работник и дети работника, в размере документально подтвержденных расходов;
3) оплата стоимости проезда воздушным транспортом взамен железнодорожного в случае, если по маршруту движения отсутствует железнодорожное сообщение. при этом работнику компенсируются фактически понесенные им расходы на оплату стоимости его проезда воздушным транспортом в салоне экономического класса по участку пути, на котором отсутствует железнодорожное сообщение, а также проезда его детей на основании справок, выданных транспортной организацией, осуществляющей перевозку, или ее уполномоченным агентом, или организацией, продавшей проездной документ либо арендующей транспорт (далее - транспортная организация), содержащих информацию о стоимости проезда воздушным транспортом по участку пути, на котором отсутствует железнодорожное сообщение, на дату приобретения билетов."
"Забота компании о работнике | Коллективный договор, льготный проезд | Как часто предоставляется компенсация проезда в отпуске (Крайний Север)? | Когда могу пользоваться компенсацией за проезд в отпуске с Крайнего Севера? | как часто могу слетать в отпуск за счет компании как работник региона Крайнего Севера |  | компенсация перелета для работника Крайнего севера | бесплатный проезд в отпуске для работников Северных регионов | ","Один раз в два года.
основанием для предоставления работнику права бесплатного проезда является приказ (распоряжение) руководителя филиала или структурного подразделения о предоставлении работнику отпуска. при этом, детям в возрасте до 18 лет, находящимся на иждивении работника, право бесплатного проезда железнодорожным транспортом предоставляется независимо от времени использования отпуска работником. Какие именно расходы компенсируются 1) оплата стоимости проезда работника к месту использования отпуска и детей работника к месту отдыха и обратно в размере фактических расходов, подтвержденных проездными документами, но не выше стоимости проезда:
водным транспортом в каюте v группы морского судна регулярных транспортных линий и линий с комплексным обслуживанием пассажиров, в каюте ii категории речного судна всех линий сообщения и в каюте i категории судна паромной переправы;
воздушным транспортом в салоне экономического класса (в том числе детей работника в возрасте от 2 лет);
автомобильным транспортом общего пользования;
личным транспортом;
2) оплата стоимости провоза багажа весом до 24 кг (включительно) работника и каждого из детей работника независимо от количества багажа, разрешенного для бесплатного провоза по билету на тот вид транспорта, которым следуют работник и дети работника, в размере документально подтвержденных расходов;
3) оплата стоимости проезда воздушным транспортом взамен железнодорожного в случае, если по маршруту движения отсутствует железнодорожное сообщение. при этом работнику компенсируются фактически понесенные им расходы на оплату стоимости его проезда воздушным транспортом в салоне экономического класса по участку пути, на котором отсутствует железнодорожное сообщение, а также проезда его детей на основании справок, выданных транспортной организацией, осуществляющей перевозку, или ее уполномоченным агентом, или организацией, продавшей проездной документ либо арендующей транспорт (далее - транспортная организация), содержащих информацию о стоимости проезда воздушным транспортом по участку пути, на котором отсутствует железнодорожное сообщение, на дату приобретения билетов."
